"State","Date","VMT"
"AL",2016-05-19,202.0322581
"AL",2016-05-20,202.0322581
"AL",2016-05-21,202.0322581
"AL",2016-05-22,202.0322581
"AL",2016-05-23,202.0322581
"AL",2016-05-24,202.0322581
"AL",2016-05-25,202.0322581
"AL",2016-05-26,202.0322581
"AL",2016-05-27,202.0322581
"AL",2016-05-28,202.0322581
"AL",2016-05-29,202.0322581
"AL",2016-05-30,202.0322581
"AL",2016-05-31,202.0322581
"AL",2016-06-01,206
"AL",2016-06-02,206
"AL",2016-06-03,206
"AL",2016-06-04,206
"AL",2016-06-05,206
"AL",2016-06-06,206
"AL",2016-06-07,206
"AL",2016-06-08,206
"AL",2016-06-09,206
"AL",2016-06-10,206
"AL",2016-06-11,206
"AL",2016-06-12,206
"AL",2016-06-13,206
"AL",2016-06-14,206
"AL",2016-06-15,206
"AL",2016-06-16,206
"AL",2016-06-17,206
"AL",2016-06-18,206
"AL",2016-06-19,206
"AL",2016-06-20,206
"AL",2016-06-21,206
"AL",2016-06-22,206
"AL",2016-06-23,206
"AL",2016-06-24,206
"AL",2016-06-25,206
"AL",2016-06-26,206
"AL",2016-06-27,206
"AL",2016-06-28,206
"AL",2016-06-29,206
"AL",2016-06-30,206
"AL",2016-07-01,193.7741935
"AL",2016-07-02,193.7741935
"AL",2016-07-03,193.7741935
"AL",2016-07-04,193.7741935
"AL",2016-07-05,193.7741935
"AL",2016-07-06,193.7741935
"AL",2016-07-07,193.7741935
"AL",2016-07-08,193.7741935
"AL",2016-07-09,193.7741935
"AL",2016-07-10,193.7741935
"AL",2016-07-11,193.7741935
"AL",2016-07-12,193.7741935
"AL",2016-07-13,193.7741935
"AL",2016-07-14,193.7741935
"AL",2016-07-15,193.7741935
"AL",2016-07-16,193.7741935
"AL",2016-07-17,193.7741935
"AL",2016-07-18,193.7741935
"AL",2016-07-19,193.7741935
"AL",2016-07-20,193.7741935
"AL",2016-07-21,193.7741935
"AL",2016-07-22,193.7741935
"AL",2016-07-23,193.7741935
"AL",2016-07-24,193.7741935
"AL",2016-07-25,193.7741935
"AL",2016-07-26,193.7741935
"AL",2016-07-27,193.7741935
"AL",2016-07-28,193.7741935
"AL",2016-07-29,193.7741935
"AL",2016-07-30,193.7741935
"AL",2016-07-31,193.7741935
"AL",2016-08-01,202.6129032
"AL",2016-08-02,202.6129032
"AL",2016-08-03,202.6129032
"AL",2016-08-04,202.6129032
"AL",2016-08-05,202.6129032
"AL",2016-08-06,202.6129032
"AL",2016-08-07,202.6129032
"AL",2016-08-08,202.6129032
"AL",2016-08-09,202.6129032
"AL",2016-08-10,202.6129032
"AL",2016-08-11,202.6129032
"AL",2016-08-12,202.6129032
"AL",2016-08-13,202.6129032
"AL",2016-08-14,202.6129032
"AL",2016-08-15,202.6129032
"AL",2016-08-16,202.6129032
"AL",2016-08-17,202.6129032
"AL",2016-08-18,202.6129032
"AL",2016-08-19,202.6129032
"AL",2016-08-20,202.6129032
"AL",2016-08-21,202.6129032
"AL",2016-08-22,202.6129032
"AL",2016-08-23,202.6129032
"AL",2016-08-24,202.6129032
"AL",2016-08-25,202.6129032
"AL",2016-08-26,202.6129032
"AL",2016-08-27,202.6129032
"AL",2016-08-28,202.6129032
"AL",2016-08-29,202.6129032
"AL",2016-08-30,202.6129032
"AL",2016-08-31,202.6129032
"AL",2016-09-01,187.7666667
"AL",2016-09-02,187.7666667
"AL",2016-09-03,187.7666667
"AL",2016-09-04,187.7666667
"AL",2016-09-05,187.7666667
"AL",2016-09-06,187.7666667
"AL",2016-09-07,187.7666667
"AL",2016-09-08,187.7666667
"AL",2016-09-09,187.7666667
"AL",2016-09-10,187.7666667
"AL",2016-09-11,187.7666667
"AL",2016-09-12,187.7666667
"AL",2016-09-13,187.7666667
"AL",2016-09-14,187.7666667
"AL",2016-09-15,187.7666667
"AL",2016-09-16,187.7666667
"AL",2016-09-17,187.7666667
"AL",2016-09-18,187.7666667
"AL",2016-09-19,187.7666667
"AL",2016-09-20,187.7666667
"AL",2016-09-21,187.7666667
"AL",2016-09-22,187.7666667
"AL",2016-09-23,187.7666667
"AL",2016-09-24,187.7666667
"AL",2016-09-25,187.7666667
"AL",2016-09-26,187.7666667
"AL",2016-09-27,187.7666667
"AL",2016-09-28,187.7666667
"AL",2016-09-29,187.7666667
"AL",2016-09-30,187.7666667
"AL",2016-10-01,185.2580645
"AL",2016-10-02,185.2580645
"AL",2016-10-03,185.2580645
"AL",2016-10-04,185.2580645
"AL",2016-10-05,185.2580645
"AL",2016-10-06,185.2580645
"AL",2016-10-07,185.2580645
"AL",2016-10-08,185.2580645
"AL",2016-10-09,185.2580645
"AL",2016-10-10,185.2580645
"AL",2016-10-11,185.2580645
"AL",2016-10-12,185.2580645
"AL",2016-10-13,185.2580645
"AL",2016-10-14,185.2580645
"AL",2016-10-15,185.2580645
"AL",2016-10-16,185.2580645
"AL",2016-10-17,185.2580645
"AL",2016-10-18,185.2580645
"AL",2016-10-19,185.2580645
"AL",2016-10-20,185.2580645
"AL",2016-10-21,185.2580645
"AL",2016-10-22,185.2580645
"AL",2016-10-23,185.2580645
"AL",2016-10-24,185.2580645
"AL",2016-10-25,185.2580645
"AL",2016-10-26,185.2580645
"AL",2016-10-27,185.2580645
"AL",2016-10-28,185.2580645
"AL",2016-10-29,185.2580645
"AL",2016-10-30,185.2580645
"AL",2016-10-31,185.2580645
"AL",2016-11-01,179.8333333
"AL",2016-11-02,179.8333333
"AL",2016-11-03,179.8333333
"AL",2016-11-04,179.8333333
"AL",2016-11-05,179.8333333
"AL",2016-11-06,179.8333333
"AL",2016-11-07,179.8333333
"AL",2016-11-08,179.8333333
"AL",2016-11-09,179.8333333
"AL",2016-11-10,179.8333333
"AL",2016-11-11,179.8333333
"AL",2016-11-12,179.8333333
"AL",2016-11-13,179.8333333
"AL",2016-11-14,179.8333333
"AL",2016-11-15,179.8333333
"AL",2016-11-16,179.8333333
"AL",2016-11-17,179.8333333
"AL",2016-11-18,179.8333333
"AL",2016-11-19,179.8333333
"AL",2016-11-20,179.8333333
"AL",2016-11-21,179.8333333
"AL",2016-11-22,179.8333333
"AL",2016-11-23,179.8333333
"AL",2016-11-24,179.8333333
"AL",2016-11-25,179.8333333
"AL",2016-11-26,179.8333333
"AL",2016-11-27,179.8333333
"AL",2016-11-28,179.8333333
"AL",2016-11-29,179.8333333
"AL",2016-11-30,179.8333333
"AL",2016-12-01,179.2258065
"AL",2016-12-02,179.2258065
"AL",2016-12-03,179.2258065
"AL",2016-12-04,179.2258065
"AL",2016-12-05,179.2258065
"AL",2016-12-06,179.2258065
"AL",2016-12-07,179.2258065
"AL",2016-12-08,179.2258065
"AL",2016-12-09,179.2258065
"AL",2016-12-10,179.2258065
"AL",2016-12-11,179.2258065
"AL",2016-12-12,179.2258065
"AL",2016-12-13,179.2258065
"AL",2016-12-14,179.2258065
"AL",2016-12-15,179.2258065
"AL",2016-12-16,179.2258065
"AL",2016-12-17,179.2258065
"AL",2016-12-18,179.2258065
"AL",2016-12-19,179.2258065
"AL",2016-12-20,179.2258065
"AL",2016-12-21,179.2258065
"AL",2016-12-22,179.2258065
"AL",2016-12-23,179.2258065
"AL",2016-12-24,179.2258065
"AL",2016-12-25,179.2258065
"AL",2016-12-26,179.2258065
"AL",2016-12-27,179.2258065
"AL",2016-12-28,179.2258065
"AL",2016-12-29,179.2258065
"AL",2016-12-30,179.2258065
"AL",2016-12-31,179.2258065
"AL",2017-01-01,164.0967742
"AL",2017-01-02,164.0967742
"AL",2017-01-03,164.0967742
"AL",2017-01-04,164.0967742
"AL",2017-01-05,164.0967742
"AL",2017-01-06,164.0967742
"AL",2017-01-07,164.0967742
"AL",2017-01-08,164.0967742
"AL",2017-01-09,164.0967742
"AL",2017-01-10,164.0967742
"AL",2017-01-11,164.0967742
"AL",2017-01-12,164.0967742
"AL",2017-01-13,164.0967742
"AL",2017-01-14,164.0967742
"AL",2017-01-15,164.0967742
"AL",2017-01-16,164.0967742
"AL",2017-01-17,164.0967742
"AL",2017-01-18,164.0967742
"AL",2017-01-19,164.0967742
"AL",2017-01-20,164.0967742
"AL",2017-01-21,164.0967742
"AL",2017-01-22,164.0967742
"AL",2017-01-23,164.0967742
"AL",2017-01-24,164.0967742
"AL",2017-01-25,164.0967742
"AL",2017-01-26,164.0967742
"AL",2017-01-27,164.0967742
"AL",2017-01-28,164.0967742
"AL",2017-01-29,164.0967742
"AL",2017-01-30,164.0967742
"AL",2017-01-31,164.0967742
"AL",2017-02-01,183.0714286
"AL",2017-02-02,183.0714286
"AL",2017-02-03,183.0714286
"AL",2017-02-04,183.0714286
"AL",2017-02-05,183.0714286
"AL",2017-02-06,183.0714286
"AL",2017-02-07,183.0714286
"AL",2017-02-08,183.0714286
"AL",2017-02-09,183.0714286
"AL",2017-02-10,183.0714286
"AL",2017-02-11,183.0714286
"AL",2017-02-12,183.0714286
"AL",2017-02-13,183.0714286
"AL",2017-02-14,183.0714286
"AL",2017-02-15,183.0714286
"AL",2017-02-16,183.0714286
"AL",2017-02-17,183.0714286
"AL",2017-02-18,183.0714286
"AL",2017-02-19,183.0714286
"AL",2017-02-20,183.0714286
"AL",2017-02-21,183.0714286
"AL",2017-02-22,183.0714286
"AL",2017-02-23,183.0714286
"AL",2017-02-24,183.0714286
"AL",2017-02-25,183.0714286
"AL",2017-02-26,183.0714286
"AL",2017-02-27,183.0714286
"AL",2017-02-28,183.0714286
"AL",2017-03-01,195.0645161
"AL",2017-03-02,195.0645161
"AL",2017-03-03,195.0645161
"AL",2017-03-04,195.0645161
"AL",2017-03-05,195.0645161
"AL",2017-03-06,195.0645161
"AL",2017-03-07,195.0645161
"AL",2017-03-08,195.0645161
"AL",2017-03-09,195.0645161
"AL",2017-03-10,195.0645161
"AL",2017-03-11,195.0645161
"AL",2017-03-12,195.0645161
"AL",2017-03-13,195.0645161
"AL",2017-03-14,195.0645161
"AL",2017-03-15,195.0645161
"AL",2017-03-16,195.0645161
"AL",2017-03-17,195.0645161
"AL",2017-03-18,195.0645161
"AL",2017-03-19,195.0645161
"AL",2017-03-20,195.0645161
"AL",2017-03-21,195.0645161
"AL",2017-03-22,195.0645161
"AL",2017-03-23,195.0645161
"AL",2017-03-24,195.0645161
"AL",2017-03-25,195.0645161
"AL",2017-03-26,195.0645161
"AL",2017-03-27,195.0645161
"AL",2017-03-28,195.0645161
"AL",2017-03-29,195.0645161
"AL",2017-03-30,195.0645161
"AL",2017-03-31,195.0645161
"AL",2017-04-01,203.1666667
"AL",2017-04-02,203.1666667
"AL",2017-04-03,203.1666667
"AL",2017-04-04,203.1666667
"AL",2017-04-05,203.1666667
"AL",2017-04-06,203.1666667
"AL",2017-04-07,203.1666667
"AL",2017-04-08,203.1666667
"AL",2017-04-09,203.1666667
"AL",2017-04-10,203.1666667
"AL",2017-04-11,203.1666667
"AL",2017-04-12,203.1666667
"AL",2017-04-13,203.1666667
"AL",2017-04-14,203.1666667
"AL",2017-04-15,203.1666667
"AL",2017-04-16,203.1666667
"AL",2017-04-17,203.1666667
"AL",2017-04-18,203.1666667
"AL",2017-04-19,203.1666667
"AL",2017-04-20,203.1666667
"AL",2017-04-21,203.1666667
"AL",2017-04-22,203.1666667
"AL",2017-04-23,203.1666667
"AL",2017-04-24,203.1666667
"AL",2017-04-25,203.1666667
"AL",2017-04-26,203.1666667
"AL",2017-04-27,203.1666667
"AL",2017-04-28,203.1666667
"AL",2017-04-29,203.1666667
"AL",2017-04-30,203.1666667
"AL",2017-05-01,203.1290323
"AL",2017-05-02,203.1290323
"AL",2017-05-03,203.1290323
"AL",2017-05-04,203.1290323
"AL",2017-05-05,203.1290323
"AL",2017-05-06,203.1290323
"AL",2017-05-07,203.1290323
"AL",2017-05-08,203.1290323
"AL",2017-05-09,203.1290323
"AL",2017-05-10,203.1290323
"AL",2017-05-11,203.1290323
"AL",2017-05-12,203.1290323
"AL",2017-05-13,203.1290323
"AL",2017-05-14,203.1290323
"AL",2017-05-15,203.1290323
"AL",2017-05-16,203.1290323
"AL",2017-05-17,203.1290323
"AL",2017-05-18,203.1290323
"AL",2017-05-19,203.1290323
"AL",2017-05-20,203.1290323
"AL",2017-05-21,203.1290323
"AL",2017-05-22,203.1290323
"AL",2017-05-23,203.1290323
"AL",2017-05-24,203.1290323
"AL",2017-05-25,203.1290323
"AL",2017-05-26,203.1290323
"AL",2017-05-27,203.1290323
"AL",2017-05-28,203.1290323
"AL",2017-05-29,203.1290323
"AL",2017-05-30,203.1290323
"AL",2017-05-31,203.1290323
"AL",2017-06-01,204.0333333
"AL",2017-06-02,204.0333333
"AL",2017-06-03,204.0333333
"AL",2017-06-04,204.0333333
"AL",2017-06-05,204.0333333
"AL",2017-06-06,204.0333333
"AL",2017-06-07,204.0333333
"AL",2017-06-08,204.0333333
"AL",2017-06-09,204.0333333
"AL",2017-06-10,204.0333333
"AL",2017-06-11,204.0333333
"AL",2017-06-12,204.0333333
"AL",2017-06-13,204.0333333
"AL",2017-06-14,204.0333333
"AL",2017-06-15,204.0333333
"AL",2017-06-16,204.0333333
"AL",2017-06-17,204.0333333
"AL",2017-06-18,204.0333333
"AL",2017-06-19,204.0333333
"AL",2017-06-20,204.0333333
"AL",2017-06-21,204.0333333
"AL",2017-06-22,204.0333333
"AL",2017-06-23,204.0333333
"AL",2017-06-24,204.0333333
"AL",2017-06-25,204.0333333
"AL",2017-06-26,204.0333333
"AL",2017-06-27,204.0333333
"AL",2017-06-28,204.0333333
"AL",2017-06-29,204.0333333
"AL",2017-06-30,204.0333333
"AL",2017-07-01,193.8064516
"AL",2017-07-02,193.8064516
"AL",2017-07-03,193.8064516
"AL",2017-07-04,193.8064516
"AL",2017-07-05,193.8064516
"AL",2017-07-06,193.8064516
"AL",2017-07-07,193.8064516
"AL",2017-07-08,193.8064516
"AL",2017-07-09,193.8064516
"AL",2017-07-10,193.8064516
"AL",2017-07-11,193.8064516
"AL",2017-07-12,193.8064516
"AL",2017-07-13,193.8064516
"AL",2017-07-14,193.8064516
"AL",2017-07-15,193.8064516
"AL",2017-07-16,193.8064516
"AL",2017-07-17,193.8064516
"AL",2017-07-18,193.8064516
"AL",2017-07-19,193.8064516
"AL",2017-07-20,193.8064516
"AL",2017-07-21,193.8064516
"AL",2017-07-22,193.8064516
"AL",2017-07-23,193.8064516
"AL",2017-07-24,193.8064516
"AL",2017-07-25,193.8064516
"AL",2017-07-26,193.8064516
"AL",2017-07-27,193.8064516
"AL",2017-07-28,193.8064516
"AL",2017-07-29,193.8064516
"AL",2017-07-30,193.8064516
"AL",2017-07-31,193.8064516
"AL",2017-08-01,203.8387097
"AL",2017-08-02,203.8387097
"AL",2017-08-03,203.8387097
"AL",2017-08-04,203.8387097
"AL",2017-08-05,203.8387097
"AL",2017-08-06,203.8387097
"AL",2017-08-07,203.8387097
"AL",2017-08-08,203.8387097
"AL",2017-08-09,203.8387097
"AL",2017-08-10,203.8387097
"AL",2017-08-11,203.8387097
"AL",2017-08-12,203.8387097
"AL",2017-08-13,203.8387097
"AL",2017-08-14,203.8387097
"AL",2017-08-15,203.8387097
"AL",2017-08-16,203.8387097
"AL",2017-08-17,203.8387097
"AL",2017-08-18,203.8387097
"AL",2017-08-19,203.8387097
"AL",2017-08-20,203.8387097
"AL",2017-08-21,203.8387097
"AL",2017-08-22,203.8387097
"AL",2017-08-23,203.8387097
"AL",2017-08-24,203.8387097
"AL",2017-08-25,203.8387097
"AL",2017-08-26,203.8387097
"AL",2017-08-27,203.8387097
"AL",2017-08-28,203.8387097
"AL",2017-08-29,203.8387097
"AL",2017-08-30,203.8387097
"AL",2017-08-31,203.8387097
"AL",2017-09-01,186.1666667
"AL",2017-09-02,186.1666667
"AL",2017-09-03,186.1666667
"AL",2017-09-04,186.1666667
"AL",2017-09-05,186.1666667
"AL",2017-09-06,186.1666667
"AL",2017-09-07,186.1666667
"AL",2017-09-08,186.1666667
"AL",2017-09-09,186.1666667
"AL",2017-09-10,186.1666667
"AL",2017-09-11,186.1666667
"AL",2017-09-12,186.1666667
"AL",2017-09-13,186.1666667
"AL",2017-09-14,186.1666667
"AL",2017-09-15,186.1666667
"AL",2017-09-16,186.1666667
"AL",2017-09-17,186.1666667
"AL",2017-09-18,186.1666667
"AL",2017-09-19,186.1666667
"AL",2017-09-20,186.1666667
"AL",2017-09-21,186.1666667
"AL",2017-09-22,186.1666667
"AL",2017-09-23,186.1666667
"AL",2017-09-24,186.1666667
"AL",2017-09-25,186.1666667
"AL",2017-09-26,186.1666667
"AL",2017-09-27,186.1666667
"AL",2017-09-28,186.1666667
"AL",2017-09-29,186.1666667
"AL",2017-09-30,186.1666667
"AL",2017-10-01,181.8064516
"AL",2017-10-02,181.8064516
"AL",2017-10-03,181.8064516
"AL",2017-10-04,181.8064516
"AL",2017-10-05,181.8064516
"AL",2017-10-06,181.8064516
"AL",2017-10-07,181.8064516
"AL",2017-10-08,181.8064516
"AL",2017-10-09,181.8064516
"AL",2017-10-10,181.8064516
"AL",2017-10-11,181.8064516
"AL",2017-10-12,181.8064516
"AL",2017-10-13,181.8064516
"AL",2017-10-14,181.8064516
"AL",2017-10-15,181.8064516
"AL",2017-10-16,181.8064516
"AL",2017-10-17,181.8064516
"AL",2017-10-18,181.8064516
"AL",2017-10-19,181.8064516
"AL",2017-10-20,181.8064516
"AL",2017-10-21,181.8064516
"AL",2017-10-22,181.8064516
"AL",2017-10-23,181.8064516
"AL",2017-10-24,181.8064516
"AL",2017-10-25,181.8064516
"AL",2017-10-26,181.8064516
"AL",2017-10-27,181.8064516
"AL",2017-10-28,181.8064516
"AL",2017-10-29,181.8064516
"AL",2017-10-30,181.8064516
"AL",2017-10-31,181.8064516
"AL",2017-11-01,179.7333333
"AL",2017-11-02,179.7333333
"AL",2017-11-03,179.7333333
"AL",2017-11-04,179.7333333
"AL",2017-11-05,179.7333333
"AL",2017-11-06,179.7333333
"AL",2017-11-07,179.7333333
"AL",2017-11-08,179.7333333
"AL",2017-11-09,179.7333333
"AL",2017-11-10,179.7333333
"AL",2017-11-11,179.7333333
"AL",2017-11-12,179.7333333
"AL",2017-11-13,179.7333333
"AL",2017-11-14,179.7333333
"AL",2017-11-15,179.7333333
"AL",2017-11-16,179.7333333
"AL",2017-11-17,179.7333333
"AL",2017-11-18,179.7333333
"AL",2017-11-19,179.7333333
"AL",2017-11-20,179.7333333
"AL",2017-11-21,179.7333333
"AL",2017-11-22,179.7333333
"AL",2017-11-23,179.7333333
"AL",2017-11-24,179.7333333
"AL",2017-11-25,179.7333333
"AL",2017-11-26,179.7333333
"AL",2017-11-27,179.7333333
"AL",2017-11-28,179.7333333
"AL",2017-11-29,179.7333333
"AL",2017-11-30,179.7333333
"AL",2017-12-01,186.2903226
"AL",2017-12-02,186.2903226
"AL",2017-12-03,186.2903226
"AL",2017-12-04,186.2903226
"AL",2017-12-05,186.2903226
"AL",2017-12-06,186.2903226
"AL",2017-12-07,186.2903226
"AL",2017-12-08,186.2903226
"AL",2017-12-09,186.2903226
"AL",2017-12-10,186.2903226
"AL",2017-12-11,186.2903226
"AL",2017-12-12,186.2903226
"AL",2017-12-13,186.2903226
"AL",2017-12-14,186.2903226
"AL",2017-12-15,186.2903226
"AL",2017-12-16,186.2903226
"AL",2017-12-17,186.2903226
"AL",2017-12-18,186.2903226
"AL",2017-12-19,186.2903226
"AL",2017-12-20,186.2903226
"AL",2017-12-21,186.2903226
"AL",2017-12-22,186.2903226
"AL",2017-12-23,186.2903226
"AL",2017-12-24,186.2903226
"AL",2017-12-25,186.2903226
"AL",2017-12-26,186.2903226
"AL",2017-12-27,186.2903226
"AL",2017-12-28,186.2903226
"AL",2017-12-29,186.2903226
"AL",2017-12-30,186.2903226
"AL",2017-12-31,186.2903226
"AL",2018-01-01,164.5483871
"AL",2018-01-02,164.5483871
"AL",2018-01-03,164.5483871
"AL",2018-01-04,164.5483871
"AL",2018-01-05,164.5483871
"AL",2018-01-06,164.5483871
"AL",2018-01-07,164.5483871
"AL",2018-01-08,164.5483871
"AL",2018-01-09,164.5483871
"AL",2018-01-10,164.5483871
"AL",2018-01-11,164.5483871
"AL",2018-01-12,164.5483871
"AL",2018-01-13,164.5483871
"AL",2018-01-14,164.5483871
"AL",2018-01-15,164.5483871
"AL",2018-01-16,164.5483871
"AL",2018-01-17,164.5483871
"AL",2018-01-18,164.5483871
"AL",2018-01-19,164.5483871
"AL",2018-01-20,164.5483871
"AL",2018-01-21,164.5483871
"AL",2018-01-22,164.5483871
"AL",2018-01-23,164.5483871
"AL",2018-01-24,164.5483871
"AL",2018-01-25,164.5483871
"AL",2018-01-26,164.5483871
"AL",2018-01-27,164.5483871
"AL",2018-01-28,164.5483871
"AL",2018-01-29,164.5483871
"AL",2018-01-30,164.5483871
"AL",2018-01-31,164.5483871
"AL",2018-02-01,177.6785714
"AL",2018-02-02,177.6785714
"AL",2018-02-03,177.6785714
"AL",2018-02-04,177.6785714
"AL",2018-02-05,177.6785714
"AL",2018-02-06,177.6785714
"AL",2018-02-07,177.6785714
"AL",2018-02-08,177.6785714
"AL",2018-02-09,177.6785714
"AL",2018-02-10,177.6785714
"AL",2018-02-11,177.6785714
"AL",2018-02-12,177.6785714
"AL",2018-02-13,177.6785714
"AL",2018-02-14,177.6785714
"AL",2018-02-15,177.6785714
"AL",2018-02-16,177.6785714
"AL",2018-02-17,177.6785714
"AL",2018-02-18,177.6785714
"AL",2018-02-19,177.6785714
"AL",2018-02-20,177.6785714
"AL",2018-02-21,177.6785714
"AL",2018-02-22,177.6785714
"AL",2018-02-23,177.6785714
"AL",2018-02-24,177.6785714
"AL",2018-02-25,177.6785714
"AL",2018-02-26,177.6785714
"AL",2018-02-27,177.6785714
"AL",2018-02-28,177.6785714
"AL",2018-03-01,192
"AL",2018-03-02,192
"AL",2018-03-03,192
"AL",2018-03-04,192
"AL",2018-03-05,192
"AL",2018-03-06,192
"AL",2018-03-07,192
"AL",2018-03-08,192
"AL",2018-03-09,192
"AL",2018-03-10,192
"AL",2018-03-11,192
"AL",2018-03-12,192
"AL",2018-03-13,192
"AL",2018-03-14,192
"AL",2018-03-15,192
"AL",2018-03-16,192
"AL",2018-03-17,192
"AL",2018-03-18,192
"AL",2018-03-19,192
"AL",2018-03-20,192
"AL",2018-03-21,192
"AL",2018-03-22,192
"AL",2018-03-23,192
"AL",2018-03-24,192
"AL",2018-03-25,192
"AL",2018-03-26,192
"AL",2018-03-27,192
"AL",2018-03-28,192
"AL",2018-03-29,192
"AL",2018-03-30,192
"AL",2018-03-31,192
"AL",2018-04-01,204.8333333
"AL",2018-04-02,204.8333333
"AL",2018-04-03,204.8333333
"AL",2018-04-04,204.8333333
"AL",2018-04-05,204.8333333
"AL",2018-04-06,204.8333333
"AL",2018-04-07,204.8333333
"AL",2018-04-08,204.8333333
"AL",2018-04-09,204.8333333
"AL",2018-04-10,204.8333333
"AL",2018-04-11,204.8333333
"AL",2018-04-12,204.8333333
"AL",2018-04-13,204.8333333
"AL",2018-04-14,204.8333333
"AL",2018-04-15,204.8333333
"AL",2018-04-16,204.8333333
"AL",2018-04-17,204.8333333
"AL",2018-04-18,204.8333333
"AL",2018-04-19,204.8333333
"AL",2018-04-20,204.8333333
"AL",2018-04-21,204.8333333
"AL",2018-04-22,204.8333333
"AL",2018-04-23,204.8333333
"AL",2018-04-24,204.8333333
"AL",2018-04-25,204.8333333
"AL",2018-04-26,204.8333333
"AL",2018-04-27,204.8333333
"AL",2018-04-28,204.8333333
"AL",2018-04-29,204.8333333
"AL",2018-04-30,204.8333333
"AL",2018-05-01,201.7096774
"AL",2018-05-02,201.7096774
"AL",2018-05-03,201.7096774
"AL",2018-05-04,201.7096774
"AL",2018-05-05,201.7096774
"AL",2018-05-06,201.7096774
"AL",2018-05-07,201.7096774
"AL",2018-05-08,201.7096774
"AL",2018-05-09,201.7096774
"AL",2018-05-10,201.7096774
"AL",2018-05-11,201.7096774
"AL",2018-05-12,201.7096774
"AL",2018-05-13,201.7096774
"AL",2018-05-14,201.7096774
"AL",2018-05-15,201.7096774
"AL",2018-05-16,201.7096774
"AL",2018-05-17,201.7096774
"AL",2018-05-18,201.7096774
"AL",2018-05-19,201.7096774
"AL",2018-05-20,201.7096774
"AL",2018-05-21,201.7096774
"AL",2018-05-22,201.7096774
"AL",2018-05-23,201.7096774
"AL",2018-05-24,201.7096774
"AL",2018-05-25,201.7096774
"AL",2018-05-26,201.7096774
"AL",2018-05-27,201.7096774
